id,date,retweets,source,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity
2184934963,2020-12-22 23:22:20,71,Twitter Web App,GO GREEN,91,The death of summer Arctic ice our Earth cooler is now just a few years away if not sooner triggering a world wide climate planet break down supercharging global warming leaving much of the planet hostile to life abrupt climate change is only a matter of timeEnd fossil fuel,ECOWARRIORSS,,False,23415,20439,-0.05436507936507937,0.42698412698412697
508658626,2020-12-10 14:30:00,14,Twitter for Advertisers,Elsevier Energy,98,Elsevier and the EditorsinChief are pleased to share the first volume of Energy and Climate Change now available on ScienceDirect Get FREE ACCESS until 1 June 2021,ElsevierEnergy,"Oxford, England",False,6615,508,0.38749999999999996,0.6333333333333333
2607105006,2020-12-22 21:28:52,0,Twitter Web App,Arwyn Thomas,1,From better climate change education to improved sustainability heres what 2020 got right about environmental justice and global warming climate change environment hometopstory,siwarr5,Carmarthen,False,22,133,0.2619047619047619,0.3452380952380952
19609660,2020-12-22 21:24:10,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,0.0,0.0
19609660,2020-12-21 22:52:09,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1,climate change The 11TH HOUR FOR THE EARTH climatechange global warming GlobalWarming,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,0.0,0.0
18210270,2020-12-21 15:45:12,0,Hootsuite Inc.,MapsofWorld,0,For years now scientists and governments have discussed and debated the effects of climate change and global warming Very little has been doneHave a look at Climate Change over the Centuryenvironment climate Change,mapsofworld,"San Jose, US",False,5292,130,-0.12187500000000001,0.325
380346763,2020-12-21 13:00:46,0,Hootsuite Inc.,EHN,1,The growing impacts of climate change have already pushed more than 18 million people to migrate within South Asian countries but that could more than triple if global warming continues on its current path researchers have warned Reuters,EnvirHealthNews,"Charlottesville, VA",False,10248,2466,0.2,0.27999999999999997
154266844,2020-12-20 19:28:17,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0,deserts forests TURNING DESERTS INTO FORESTS climate change CO2 global warming,SptsGuy1,"Rural Hall, NC",False,2281,2155,0.0,0.0
610076827,2020-12-20 13:21:46,6,Twitter for iPhone,Chris Fox,8,The Federal Reserve on Tuesday took its most significant step forward on climate change announcing that it joined a group of some 75 other central banks focused on rooting out the risk warming poses to the global financial system via grist,ChristopherNFox,"Boston, MA",False,18451,15267,0.125,0.3333333333333333
1158881157473157120,2020-12-18 20:17:41,1,Twitter Web App,"Greg Byrne, NL_Expatriate",1,cravecreative johnjakester Ordinary men should be required reading for all humans in positions of powerTHALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global Warming,ExpatriateNl,Earth,False,1331,3829,-0.175,0.41500000000000004
